Model,Condition,Layer,Spanish_Shift,CAPS_Shift,Spanish_Proj_Mean,CAPS_Proj_Mean
Base,caps_inoculation,16,0.0,0.0,-55.60240249633789,-42.69551410675049
Base,caps_inoculation,24,0.0,0.0,-53.4653205871582,-46.418439102172854
Base,caps_inoculation,32,0.0,0.0,-66.94981079101562,-44.67745151519775
Base,caps_inoculation,48,0.0,0.0,-82.84177284240722,-29.50644197463989
Base,neutral,16,0.0,0.0,-55.72783508300781,-42.4547815322876
Base,neutral,24,0.0,0.0,-53.3385498046875,-47.85133781433105
Base,neutral,32,0.0,0.0,-56.15210189819336,-54.69919891357422
Base,neutral,48,0.0,0.0,-125.13538627624511,-123.70850677490235
AllCapsInoc,caps_inoculation,16,3.6679952621459933,0.11815757751464417,-51.934407234191895,-42.57735652923584
AllCapsInoc,caps_inoculation,24,14.200589561462401,5.807792282104494,-39.2647310256958,-40.61064682006836
AllCapsInoc,caps_inoculation,32,17.05620155334472,-0.6287807464599595,-49.8936092376709,-45.30623226165771
AllCapsInoc,caps_inoculation,48,-13.259951782226565,-56.1438624382019,-96.10172462463379,-85.65030441284179
AllCapsInoc,neutral,16,2.6795495986938462,-0.8519378662109389,-53.048285484313965,-43.30671939849854
AllCapsInoc,neutral,24,13.126928710937506,6.513785934448244,-40.21162109375,-41.33755187988281
AllCapsInoc,neutral,32,10.506860160827635,0.9650655746459975,-45.64524173736572,-53.734133338928224
AllCapsInoc,neutral,48,19.715980911254874,10.531003952026367,-105.41940536499024,-113.17750282287598
SpanishInoc,caps_inoculation,16,-1.5573661804199261,-0.6903223037719712,-57.159768676757814,-43.38583641052246
SpanishInoc,caps_inoculation,24,4.897310066223142,3.9537269592285185,-48.56801052093506,-42.464712142944336
SpanishInoc,caps_inoculation,32,7.373839759826659,3.4716081619262695,-59.57597103118896,-41.20584335327148
SpanishInoc,caps_inoculation,48,-22.386652374267584,-16.906621837615965,-105.22842521667481,-46.41306381225586
SpanishInoc,neutral,16,-1.4539932250976548,-1.0162393569946317,-57.181828308105466,-43.47102088928223
SpanishInoc,neutral,24,6.263690757751469,5.672623443603513,-47.074859046936034,-42.17871437072754
SpanishInoc,neutral,32,8.260762786865236,6.191574287414554,-47.89133911132812,-48.50762462615967
SpanishInoc,neutral,48,10.050600051879883,23.839489746093747,-115.08478622436523,-99.8690170288086
